"ERR1017187_soil_tundra_soil_tundra"	"ERR1019366_soil_tundra_soil_tundra"	"ERR1022687_soil_tundra_soil_tundra"	"ERR1034454_soil_tundra_soil_tundra"	"ERR1035437_soil_tundra_soil_tundra"	"ERR584320_labcontam_rmhuman_labcontam_rmhuman"	"ERR584333_labcontam_rmhuman_labcontam_rmhuman"	"ERR584341_labcontam_rmhuman_labcontam_rmhuman"	"ERR584348_labcontam_rmhuman_labcontam_rmhuman"	"SRR6877300_human_calculus_human_calculus"	"SRR6877340_human_calculus_human_calculus"	"SRR6877350_human_calculus_human_calculus"	"SRR6877370_human_calculus_human_calculus"	"SRR6877399_human_calculus_human_calculus"	"SRS011271_human_gut_human_gut"	"SRS015650_human_plaque_human_plaque"	"SRS018656_human_gut_human_gut"	"SRS018665_human_plaque_human_plaque"	"SRS018975_human_plaque_human_plaque"	"SRS019387_human_plaque_human_plaque"	"SRS019397_human_gut_human_gut"	"SRS023526_human_gut_human_gut"	"SRS023538_human_plaque_human_plaque"	"SRS051031_human_gut_human_gut"	"SRS727524_human_skin_human_skin"	"SRS728264_human_skin_human_skin"	"SRS728285_human_skin_human_skin"	"SRS728312_human_skin_human_skin"	"SRS728355_human_skin_human_skin"	"Unknown"
"G0012_gorilla_calculus"	3.36865978166499e-06	0	0	6.64865821763668e-22	0.0937919461049478	0	1.74201768890395e-21	0	0	0.046251099299017	5.58774337168556e-36	0.0128411267877777	1.39787013542751e-32	3.92056658558049e-56	4.21748549041212e-27	2.70226283214759e-09	3.89351539971894e-05	4.69808197266592e-06	1.99314780898993e-14	5.90562991303299e-32	0.0252030189004592	1.02529112107566e-11	0.0917531283934052	6.22117264400441e-05	0.117645036374354	0	2.17189170270459e-59	1.11480581492644e-13	5.94214526369695e-43	0.6124054278052
"G0013_gorilla_calculus"	2.79027399792545e-07	0.0490849694452902	1.4361155104327e-07	0	0.00758534936650617	0.000119682870958713	0.142863800326757	0.000863593572333277	4.4377917126352e-07	0.0344827586206897	2.26279806841839e-05	0.0703997061948805	4.09482163871578e-09	0.0048002346275992	0	0	6.51699510032639e-05	4.57731175122633e-06	0	7.48471769607228e-15	0	4.19342314163193e-07	2.70827357680548e-07	0.0344827586206897	0.00011779688689572	0.000116100400036356	2.92264479788667e-07	0	0.0687825504034803	0.586206470473342
"G0014_gorilla_calculus"	2.2290616006455e-07	1.86845005136511e-07	0.0186722854629403	0.118002871474349	1.60487449366107e-07	0	0.101860288795027	0	0.000270471950891484	7.28268071757418e-09	0.000629457984174435	5.55698870531391e-05	6.29438077562026e-08	0.08831934341149	0.000957831099938525	0.0050251026514999	0.0621268721426223	0	0	1.419056261422e-14	0	0	0	0	0.00407929429980821	0	1.60869941609643e-14	0	0	0.599999970375072
"G0016_gorilla_calculus"	0.0426979084732334	0.150963110746621	0.0796313752184334	8.35443372706642e-11	1.46174600486643e-39	0	5.50125495043105e-28	0.02115209829009	7.6408782622018e-28	3.60335718176662e-51	2.62800551962562e-11	0.0613976763354632	3.55704919129331e-34	5.96359077575864e-09	0	3.66513441451573e-08	0	0.018080571258912	8.09690583964537e-23	5.06336959238521e-09	0	1.34795236785536e-07	0.143798932492438	0	0.000917242625331731	0.0303030303030303	7.81467505811684e-31	3.42383189308676e-39	7.21965586831954e-36	0.451057871673081
"G0017_gorilla_calculus"	0	0	0.00156251858517484	0.00833715187467849	0.0167571458573828	0	0	0	0.000244868340373908	0.0203333323215912	0.0831605319407859	0.0123685881905763	4.20438432584329e-05	0	6.70568551251604e-07	0.0226289474387301	0	0.0544660417443183	0.0254002934727513	0.0919808716150205	0	0	0.0582216715168432	0	0.00893095595271859	8.99692562555493e-06	0	0.00182093051472669	0.0130892780065701	0.580645161290323
"G0018_gorilla_calculus"	0.0356888552684706	0.107601194676184	1.29237131103059e-10	6.6798144263799e-05	3.24174867337647e-06	3.57711564019336e-17	8.19566127335431e-12	0.0962264735244949	3.32026420613263e-09	0.00259095674540305	5.06149431286729e-05	0.000130823081574838	2.52081521076677e-08	1.18274294433666e-14	0	9.24121525874517e-05	0	7.98514212566466e-08	0.0033210728548222	0.00375093243490364	0	0	0.185478886491575	0	0.0834584404121708	0	0	1.01062744902661e-16	5.12475331922655e-05	0.481487941471273
"G0019_gorilla_calculus"	2.45184172948449e-08	0.0386312778051677	0.0440551375968838	7.7757768709229e-06	0.000587647920798871	2.79214860245785e-06	0.0305757114518962	6.1145972589667e-07	0	0.000910450484215935	0.0067430868008903	5.96203686720904e-11	3.76784583702086e-05	0.000714856716395129	4.02112607841318e-13	0.201641075981718	0.00800169338825573	0.138548363980631	0.00170011865295172	0.0144069328665329	0	0	0.00452702460401785	5.83764722607623e-05	0.0769825431016307	0.0481876170970157	0.000299968542547942	0.00215946140521054	0.0221030452431287	0.359116727465841
"G0020_gorilla_calculus"	0.0800281350232739	0.164089072351572	1.36236688223773e-07	0.109384822522509	0.214957246314741	2.60516543323615e-52	0.0813700808508831	5.83607839461268e-29	1.04479564229632e-257	4.15983703406022e-127	1.65123862691325e-141	2.0131150658128e-196	3.81771060177772e-144	0	0.0321241615915907	4.21231538302158e-06	1.5648802460761e-229	0.000245358882006066	9.56803733171523e-193	2.65336024218713e-50	0	0.000133856920355242	1.18299242656017e-41	3.54314919251538e-87	0	9.41978181597331e-07	0	5.25054974751912e-317	0.0595974588837844	0.258064516129032
"G0021_gorilla_calculus"	4.79657390600458e-07	0	0	9.03774656760867e-13	1.5109304969195e-08	0	0	0.0285714017010467	1.4439663790992e-08	6.95090468231723e-08	4.31058836077207e-06	0.043517162722055	0.00640803757724301	0	7.26973892176695e-09	3.73703546020288e-05	1.12780673196761e-08	0.00159833191568587	0.000787825294045129	0.0442460344630206	0	0	0.0858976302996843	4.22100879582251e-09	3.84020841669651e-17	7.67360987621031e-15	0	7.30406276402486e-11	0.0460741846758367	0.742857108850246
"G0026_gorilla_calculus"	0	0	0	0	0	0	0.00011155547725489	0	0	0	0	0	0	0.00692074131191442	0.00201433887352987	0.0148815107701114	0	0	0	0.00591681642305872	0	0	0	0	0.0263819734094666	0.00304181522830606	0	0	0	0.940731248506358
