taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (beringei),structural_zero (gorilla),structural_zero (graueri <1000),structural_zero (graueri >1000)
28099,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1183412,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
2060726,170,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1825976,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
399,42,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1335061,74,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1125847,29,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2715959,33,FALSE,FALSE,FALSE,FALSE,0,0,0,0
879274,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
380,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
382,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1842534,26,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2613773,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
794846,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
430451,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
194963,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
110321,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
106592,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2811423,13,FALSE,FALSE,FALSE,FALSE,0,0,0,0
375549,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
716925,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1752398,Inf,TRUE,TRUE,TRUE,TRUE,1,1,0,0
1969821,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1813451,32,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2233851,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
374606,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2774562,81,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2666139,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
83263,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1756988,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
266779,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2807101,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1882682,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
408,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
223967,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
29459,64,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2769351,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
227605,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1349819,65,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1638161,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
686597,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
293089,16,FALSE,FALSE,FALSE,FALSE,0,0,0,0
912,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
1702325,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
444444,15,FALSE,FALSE,FALSE,FALSE,0,0,0,0
121719,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2587854,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
1898042,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
2699395,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
426,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
173366,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2528964,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
137722,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
664962,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
652764,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
709810,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
192,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2202148,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
286727,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
682998,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
193,11,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1226968,15,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1064539,13,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2775420,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1612173,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2220096,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
438,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
435,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2558361,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2558360,17,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1484109,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
524,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
62140,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
265959,Inf,TRUE,TRUE,TRUE,TRUE,0,0,0,1
171437,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2048283,18,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2579971,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1063,11,FALSE,FALSE,FALSE,FALSE,0,0,0,0
195105,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2500533,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2033869,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1075,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
1267768,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
308754,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1564506,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
35806,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2599296,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1411902,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2692330,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1537215,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
2169400,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
2715211,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
1335048,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1591409,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1915078,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
564137,90,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2820523,Inf,TRUE,TRUE,TRUE,TRUE,0,0,0,1
2483033,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
221822,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1580596,107,FALSE,FALSE,FALSE,FALSE,0,0,0,0
