2021-12-13 11:09:30 INFO::Writing function arguments to log file
2021-12-13 11:09:30 DEBUG::Function arguments
2021-12-13 11:09:30 DEBUG::Output folder: T3_community-level/altitude_maaslin_output
2021-12-13 11:09:30 DEBUG::Min Abundance: 0.000000
2021-12-13 11:09:30 DEBUG::Min Prevalence: 0.100000
2021-12-13 11:09:30 DEBUG::Normalization: NONE
2021-12-13 11:09:30 DEBUG::Transform: LOG
2021-12-13 11:09:30 DEBUG::Analysis method: LM
2021-12-13 11:09:30 DEBUG::Max significance: 0.250000
2021-12-13 11:09:30 DEBUG::Random effects:
2021-12-13 11:09:30 DEBUG::Fixed effects: Spec.subspecies,Approximate.altitude
2021-12-13 11:09:30 DEBUG::Correction method: BH
2021-12-13 11:09:30 DEBUG::Standardize: TRUE
2021-12-13 11:09:30 DEBUG::Cores: 1
2021-12-13 11:09:30 INFO::Verifying options selected are valid
2021-12-13 11:09:30 INFO::Determining format of input files
2021-12-13 11:09:30 INFO::Input format is data samples as rows and metadata samples as rows
2021-12-13 11:09:30 DEBUG::A total of 46 samples were found in both the data and metadata
2021-12-13 11:09:30 DEBUG::Reordering data/metadata to use same sample ordering
2021-12-13 11:09:32 INFO::Fitting model to feature number 100, X2579248
2021-12-13 11:09:32 INFO::Fitting model to feature number 101, X1183413
2021-12-13 11:09:32 INFO::Fitting model to feature number 102, X160699
2021-12-13 11:09:32 INFO::Fitting model to feature number 103, X28099
2021-12-13 11:09:32 INFO::Fitting model to feature number 104, X1183412
2021-12-13 11:09:32 INFO::Fitting model to feature number 105, X2060726
2021-12-13 11:09:32 INFO::Fitting model to feature number 106, X1825976
2021-12-13 11:09:32 INFO::Fitting model to feature number 107, X399
2021-12-13 11:09:32 INFO::Fitting model to feature number 108, X1335061
2021-12-13 11:09:32 INFO::Fitting model to feature number 109, X1125847
2021-12-13 11:09:32 INFO::Fitting model to feature number 110, X2715959
2021-12-13 11:09:32 INFO::Fitting model to feature number 111, X879274
2021-12-13 11:09:32 INFO::Fitting model to feature number 112, X380
2021-12-13 11:09:32 INFO::Fitting model to feature number 113, X382
2021-12-13 11:09:32 INFO::Fitting model to feature number 114, X1842534
2021-12-13 11:09:32 INFO::Fitting model to feature number 115, X2613773
2021-12-13 11:09:32 INFO::Fitting model to feature number 116, X794846
2021-12-13 11:09:32 INFO::Fitting model to feature number 117, X430451
2021-12-13 11:09:32 INFO::Fitting model to feature number 118, X194963
2021-12-13 11:09:32 INFO::Fitting model to feature number 119, X110321
2021-12-13 11:09:32 INFO::Fitting model to feature number 120, X106592
2021-12-13 11:09:32 INFO::Fitting model to feature number 121, X2811423
2021-12-13 11:09:32 INFO::Fitting model to feature number 122, X375549
2021-12-13 11:09:32 INFO::Fitting model to feature number 123, X716925
2021-12-13 11:09:32 INFO::Fitting model to feature number 124, X1752398
2021-12-13 11:09:32 INFO::Fitting model to feature number 125, X1969821
2021-12-13 11:09:32 INFO::Fitting model to feature number 126, X1813451
2021-12-13 11:09:32 INFO::Fitting model to feature number 127, X2233851
2021-12-13 11:09:32 INFO::Fitting model to feature number 128, X374606
2021-12-13 11:09:32 INFO::Fitting model to feature number 129, X2774562
2021-12-13 11:09:32 INFO::Fitting model to feature number 130, X2666139
2021-12-13 11:09:32 INFO::Fitting model to feature number 131, X83263
2021-12-13 11:09:32 INFO::Fitting model to feature number 132, X1756988
2021-12-13 11:09:33 INFO::Fitting model to feature number 133, X266779
2021-12-13 11:09:33 INFO::Fitting model to feature number 134, X2807101
2021-12-13 11:09:33 INFO::Fitting model to feature number 135, X1882682
2021-12-13 11:09:33 INFO::Fitting model to feature number 136, X408
2021-12-13 11:09:33 INFO::Fitting model to feature number 137, X223967
2021-12-13 11:09:33 INFO::Fitting model to feature number 138, X29459
2021-12-13 11:09:33 INFO::Fitting model to feature number 139, X2769351
2021-12-13 11:09:33 INFO::Fitting model to feature number 140, X227605
2021-12-13 11:09:33 INFO::Fitting model to feature number 141, X1349819
2021-12-13 11:09:33 INFO::Fitting model to feature number 142, X1638161
2021-12-13 11:09:33 INFO::Fitting model to feature number 143, X686597
2021-12-13 11:09:33 INFO::Fitting model to feature number 144, X293089
2021-12-13 11:09:33 INFO::Fitting model to feature number 145, X912
2021-12-13 11:09:33 INFO::Fitting model to feature number 146, X1702325
2021-12-13 11:09:33 INFO::Fitting model to feature number 147, X444444
2021-12-13 11:09:33 INFO::Fitting model to feature number 148, X121719
2021-12-13 11:09:33 INFO::Fitting model to feature number 149, X2587854
2021-12-13 11:09:33 INFO::Fitting model to feature number 150, X1898042
2021-12-13 11:09:33 INFO::Fitting model to feature number 151, X2699395
2021-12-13 11:09:33 INFO::Fitting model to feature number 152, X426
2021-12-13 11:09:33 INFO::Fitting model to feature number 153, X173366
2021-12-13 11:09:33 INFO::Fitting model to feature number 154, X2528964
2021-12-13 11:09:33 INFO::Fitting model to feature number 155, X137722
2021-12-13 11:09:33 INFO::Fitting model to feature number 156, X664962
2021-12-13 11:09:33 INFO::Fitting model to feature number 157, X652764
2021-12-13 11:09:33 INFO::Fitting model to feature number 158, X709810
2021-12-13 11:09:33 INFO::Fitting model to feature number 159, X192
2021-12-13 11:09:33 INFO::Fitting model to feature number 160, X2202148
2021-12-13 11:09:33 INFO::Fitting model to feature number 161, X286727
2021-12-13 11:09:33 INFO::Fitting model to feature number 162, X682998
2021-12-13 11:09:33 INFO::Fitting model to feature number 163, X193
2021-12-13 11:09:33 INFO::Fitting model to feature number 164, X1226968
2021-12-13 11:09:33 INFO::Fitting model to feature number 165, X1064539
2021-12-13 11:09:33 INFO::Fitting model to feature number 166, X2775420
2021-12-13 11:09:33 INFO::Fitting model to feature number 167, X1612173
2021-12-13 11:09:33 INFO::Fitting model to feature number 168, X2220096
2021-12-13 11:09:33 INFO::Fitting model to feature number 169, X438
2021-12-13 11:09:33 INFO::Fitting model to feature number 170, X435
2021-12-13 11:09:33 INFO::Fitting model to feature number 171, X2558361
2021-12-13 11:09:33 INFO::Fitting model to feature number 172, X2558360
2021-12-13 11:09:33 INFO::Fitting model to feature number 173, X1484109
2021-12-13 11:09:33 INFO::Fitting model to feature number 174, X524
2021-12-13 11:09:33 INFO::Fitting model to feature number 175, X62140
2021-12-13 11:09:33 INFO::Fitting model to feature number 176, X265959
2021-12-13 11:09:33 INFO::Fitting model to feature number 177, X171437
2021-12-13 11:09:33 INFO::Fitting model to feature number 178, X2048283
2021-12-13 11:09:33 INFO::Fitting model to feature number 179, X2579971
2021-12-13 11:09:33 INFO::Fitting model to feature number 180, X1063
2021-12-13 11:09:33 INFO::Fitting model to feature number 181, X195105
2021-12-13 11:09:33 INFO::Fitting model to feature number 182, X2500533
2021-12-13 11:09:33 INFO::Fitting model to feature number 183, X2033869
2021-12-13 11:09:33 INFO::Fitting model to feature number 184, X1075
2021-12-13 11:09:33 INFO::Fitting model to feature number 185, X1267768
2021-12-13 11:09:33 INFO::Fitting model to feature number 186, X308754
2021-12-13 11:09:33 INFO::Fitting model to feature number 187, X1564506
2021-12-13 11:09:33 INFO::Fitting model to feature number 188, X35806
2021-12-13 11:09:33 INFO::Fitting model to feature number 189, X2599296
2021-12-13 11:09:33 INFO::Fitting model to feature number 190, X1411902
2021-12-13 11:09:33 INFO::Fitting model to feature number 191, X2692330
2021-12-13 11:09:33 INFO::Fitting model to feature number 192, X1537215
2021-12-13 11:09:33 INFO::Fitting model to feature number 193, X2169400
2021-12-13 11:09:33 INFO::Fitting model to feature number 194, X2715211
2021-12-13 11:09:33 INFO::Fitting model to feature number 195, X1335048
2021-12-13 11:09:33 INFO::Fitting model to feature number 196, X1591409
2021-12-13 11:09:33 INFO::Fitting model to feature number 197, X1915078
2021-12-13 11:09:33 INFO::Fitting model to feature number 198, X564137
2021-12-13 11:09:33 INFO::Fitting model to feature number 199, X2820523
2021-12-13 11:09:33 INFO::Fitting model to feature number 200, X2483033
2021-12-13 11:09:33 INFO::Fitting model to feature number 201, X221822
2021-12-13 11:09:33 INFO::Fitting model to feature number 202, X1580596
2021-12-13 11:09:33 INFO::Fitting model to feature number 203, X311180
2021-12-13 11:09:33 INFO::Fitting model to feature number 204, X1792508
2021-12-13 11:09:33 INFO::Fitting model to feature number 205, X1229727
2021-12-13 11:09:33 INFO::Fitting model to feature number 206, X1250539
